code,name,sectionCode
A229200,KODEX 코스닥 150,10
A229720,KODEX KTOP30,10
A230480,KOSEF 미국달러선물 인버스2X(합성),10
A232080,TIGER 코스닥150,10
A233160,TIGER 코스닥150 레버리지,10
A233740,KODEX 코스닥150 레버리지,10
A234310,KBSTAR V&S셀렉트밸류,10
A236350,TIGER 인도니프티50레버리지(합성),10
A236460,ARIRANG 스마트베타 LowVOL,10
A237350,KODEX 코스피100,10
A237370,KODEX 배당성장채권혼합,10
A237440,TIGER 경기방어채권혼합,10
A238670,ARIRANG 스마트베타Quality채권혼합,10
A238720,KINDEX 일본Nikkei225(H),10
A239660,ARIRANG 우량회사채50 1년,10
A241180,TIGER 일본니케이225,10
A241390,KBSTAR V&S셀렉트밸류채권혼합,10
A243880,TIGER 200IT레버리지,10
A243890,TIGER 200에너지화학레버리지,10
A244580,KODEX 바이오,10
A244620,KODEX 모멘텀Plus,10
A244660,KODEX 퀄리티Plus,10
A244670,KODEX 밸류Plus,10
A245340,TIGER 미국다우존스30,10
A245350,TIGER 유로스탁스배당30,10
A245360,TIGER 차이나HSCEI,10
A245710,KINDEX 베트남VN30(합성),10
A247780,KODEX 가치투자,10
A247790,KODEX 성장투자,10
A247800,KODEX 턴어라운드투자,10
A248260,TIGER 일본TOPIX헬스케어(합성),10
A248270,TIGER S&P글로벌헬스케어(합성),10
A250730,KBSTAR 차이나HSCEI(H),10
A250780,TIGER 코스닥150선물인버스,10
A251340,KODEX 코스닥150선물인버스,10
A251350,KODEX 선진국MSCI World,10
A251590,ARIRANG 고배당저변동50,10
A251600,ARIRANG 고배당주채권혼합,10
A251890,KINDEX 코스닥(합성),10
A252000,TIGER 200동일가중,10
A252400,KBSTAR 200선물레버리지,10
A252410,KBSTAR 200선물인버스,10
A252420,KBSTAR 200선물인버스2X,10
A252650,KODEX 200동일가중,10
A252670,KODEX 200선물인버스2X,10
A252710,TIGER 200선물인버스2X,10
A252720,KBSTAR 모멘텀밸류,10
