code,name
.DJINET,다우존스 인터넷
.DJT,다우존스 운송지수
.DJU,다우존스 유틸리티
BANK,나스닥 은행
BIX,S&P 은행 지수
BKX,필라델피아 은행 지수
BTK,아멕스 생명공학지수
CEX,S&P 화학
CH#000004,공업지수
CH#000005,상업지수
CH#000006,부동산지수
CH#000007,공용지수
CH#000008,상해대기업지수
CH#000010,상해180
CH#000011,기금지수
CH#000012,국채지수
CH#000013,기업채권지수
CH#000015,손익지수
CH#000016,상해50지수
CH#000017,신상해종합지수
CH#000300,CSI 300
CZ#399001,심천성분지수
CZ#399002,심천A서브인덱스
CZ#399003,심천 B서브인덱스
CZ#399004,심천 100지수
CZ#399101,심천 중소기업 지수
CZ#399300,CSI 300
DDX,아멕스 디스크드라이브지수
DFI,아멕스 방위산업
DJC,다우존스 UBS 상품지수
DJGT,GLOBAL TITANS INDEX(USD)
DJR,다우존스 부동산신탁
DJTATO,World-자동차
DJTBAK,World-은행
DJTBAS,World-기초산업
DJTCGS,World-여행레저
DJTCHE,World-화학제품
DJTCNS,World-건설
DJTENG,World-석유가스
DJTFOB,World-음식료
DJTFVS,World-금융
DJTHCA,TITANS HEALTHCARE INDEX
DJTIGS,World-제조업
DJTINN,World-보험
DJTMDI,World-미디어
DJTNCG,World-비순환상품서비스
DJTRET,World-소매
DJTTEL,World-통신
DJTTHE,World-테크놀러지
DJUSAP,다우존스 자동차제조
DJUSAT,다우존스 자동차부품
DJUSAV,다우존스 광고미디어
DJUSBC,다우존스 방송
DJUSCA,다우존스 카지노
DJUSCH,다우존스 화학
DJUSCN,다우존스 건설
DJUSDB,다우존스 주류
DJUSEC,다우존스 전자부품
DJUSFB,다우존스 음식료
DJUSFC,다우존스 유선통신
DJUSHR,다우존스 중장비
DJUSLG,다우존스 호텔숙박
DJUSMT,다우존스 해상운송
DJUSNF,다우존스 비철금속
DJUSPB,다우존스 출판
DJUSSB,다우존스 증권브로커지수
DJUSST,다우존스 철강
DJUSTK,다우존스 육상운송
DJUSTR,다우존스 타이어
DJUSWC,다우존스 무선통신
DRG,아멕스 제약 지수
DS#SGECAS,S&P GSCI Agriculture Enhanced 지수
DS#SPFX500,S&P Futures 지수
DS#SPGCIS,S&P GSCI Industrial Metals Select 지수
DS#SPGSCEL,S&P GSCI E27 WTI Enhanced 지수
DS#SPGSCL,S&P GSCI WTI 지수
DS#SPGSCO,S&P GSCI Physical Copper 지수
DS#SPGSGC,S&P GSCI Gold 지수
DS#SPGSHG,S&P GSCI North American Copper 지수
DS#SPGSPM,S&P GSCI Precious Metals 지수
DS#SPGSSI,S&P GSCI Silver 지수
DS#SPGSSO,S&P GSCI Soybeans 지수
E1DOW,DJ Europe
E2DOW,DJ Europe (ex UK)
ECM,다우존스 전자상거래
EDNH,E-Mini S&P 500                          
ENXH,E-Mini Nasdaq 100                       
FVX,CBOE 5년만기 미국채 수익률지수
HCX,S&P 헬스케어지수
HK#HSCCI,항셍 차이나대기업
HK#HSCI,항셍 종합
HK#HSIC,항셍 상공업
HK#HSIF,항셍 금융
HK#HSIP,항셍 자산
HK#HSIU,항셍 유틸리티
HUI,아멕스 금광업체지수
HWI,아멕스컴퓨터/하드웨어
INDS,나스닥 공업지수
INSR,나스닥 보험
IRX,CBOE 단기금리지수
IUX,S&P 보험지수
IXCO,나스닥 컴퓨터
IXF,나스닥 금융100지수
IXTC,나스닥 정보통신
JP#AT,일본 항공운수업
JP#CAF,일본 화학
JP#COM,일본 정보통신
JP#CON,일본 건설업
JP#CORE30,TOPIX CORE 30
JP#EPG,일본 전기가스업
JP#FAF,일본 수산농림업
JP#FD,일본 식료품
JP#GAC,일본 유리토석제품
JP#IAS,일본 철강업
JP#INS,일본 보험업
JP#LAR,일본 대형
JP#LARGE70,TOPIX 대형 70
JP#LT,일본 육상운송업
JP#MC,일본 기계
